date,spread_level,vix
2020-07-01,4.64,3.3541057741283047
2020-07-02,4.64,3.3207101307494686
2020-07-03,4.64,3.3207101307494686
2020-07-06,4.64,3.330059353828816
2020-07-07,4.64,3.382014562245381
2020-07-08,4.64,3.3350575791576103
2020-07-09,4.64,3.3762213955919784
2020-07-10,4.64,3.306520334720247
2020-07-13,4.64,3.4716558453107167
2020-07-14,4.64,3.385067999732272
2020-07-15,4.64,3.3235961356386037
2020-07-16,4.64,3.332204510175204
2020-07-17,4.64,3.2457124788217606
2020-07-20,4.64,3.1970391302590264
2020-07-21,4.64,3.212455257065278
2020-07-22,4.64,3.1912990570979662
2020-07-23,4.64,3.261168737058452
2020-07-24,4.64,3.2519236789144013
2020-07-27,4.64,3.208421366964342
2020-07-28,4.64,3.2363227384719213
2020-07-29,4.64,3.1822118404966093
2020-07-30,4.64,3.2092294478163956
2020-07-31,4.64,3.1970391302590264
2020-08-03,4.64,3.1896529661912973
2020-08-04,4.64,3.168003494494444
2020-08-05,4.64,3.1350593387750902
2020-08-06,4.64,3.120159851929043
2020-08-07,4.64,3.100542637906336
2020-08-10,4.64,3.0969341540629585
2020-08-11,4.64,3.1793030497483774
2020-08-12,4.64,3.1036894150590832
2020-08-13,4.64,3.0969341540629585
2020-08-14,4.64,3.093312601892855
2020-08-17,4.64,3.0610517396746335
2020-08-18,4.64,3.068517943279639
2020-08-19,4.64,3.11529150861163
2020-08-20,4.64,3.1232455938529506
2020-08-21,4.64,3.11529150861163
2020-08-24,4.64,3.107720775502038
2020-08-25,4.64,3.092405160814252
2020-08-26,4.64,3.1471649773142003
2020-08-27,4.64,3.19744787745458
2020-08-28,4.64,3.133753571451366
2020-08-31,4.64,3.273742726309041
2020-09-01,4.64,3.2627013044082305
2020-09-02,4.64,3.279782759771722
2020-09-03,4.64,3.5145260669691587
2020-09-04,4.64,3.4258899942525267
2020-09-07,4.64,3.4258899942525267
2020-09-08,4.64,3.4487168976301317
2020-09-09,4.64,3.360722549096437
2020-09-10,4.64,3.391483689474516
2020-09-11,4.64,3.2910104226273997
2020-09-14,4.64,3.2523106009544382
2020-09-15,4.64,3.2422016501716975
2020-09-16,4.64,3.2596338173403683
2020-09-17,4.64,3.2756341586868096
2020-09-18,4.64,3.251536607107749
2020-09-21,4.64,3.3243163373261977
2020-09-22,4.64,3.2906381910950917
2020-09-23,4.64,3.3527071725017215
2020-09-24,4.64,3.3502549029245805
2020-09-25,4.64,3.2726061472891685
2020-09-28,4.64,3.2653776585196206
2020-09-29,4.64,3.2684276036974484
2020-09-30,4.64,3.2722270003651954
2020-10-01,4.64,3.2846635654062037
2020-10-02,4.64,3.318902138935325
2020-10-05,4.64,3.3307749173656096
2020-10-06,4.64,3.383712067321136
2020-10-07,4.64,3.3343450746743146
2020-10-08,4.64,3.2718477096343066
2020-10-09,4.64,3.2188758248682006
2020-10-12,4.64,3.221671912170202
2020-10-13,4.64,3.2607852279454104
2020-10-14,4.64,3.2733640101522705
2020-10-15,4.64,3.2947251371516386
2020-10-16,4.64,3.3109079103146946
2020-10-19,4.64,3.3734835430946397
2020-10-20,4.64,3.3792925462741055
2020-10-21,4.64,3.3551534431607486
2020-10-22,4.64,3.3361253849184407
2020-10-23,4.64,3.3160025355989236
2020-10-26,4.64,3.480008562086445
2020-10-27,4.64,3.507057772361633
2020-10-28,4.64,3.6958550678503617
2020-10-29,4.64,3.6267380575760866
2020-10-30,4.64,3.6381123370602833
2020-11-02,4.64,3.6144252681889886
2020-11-03,4.64,3.5709401562492498
2020-11-04,4.64,3.3867603338643857
2020-11-05,4.64,3.3170908723651555
2020-11-06,4.64,3.213260086082565
2020-11-09,4.64,3.248434627109745
2020-11-10,4.64,3.2108436531709366
2020-11-11,4.64,3.1548704948922883
2020-11-12,4.64,3.232778730037192
2020-11-13,4.64,3.139832617527748
2020-11-16,4.64,3.1112906141882632
2020-11-17,4.64,3.122805356117467
2020-11-18,4.64,3.171364842197149
2020-11-19,4.64,3.1402654242862895
2020-11-20,4.64,3.1654750481410856
2020-11-23,4.64,3.12060125559986
2020-11-24,4.64,3.074543453978281
2020-11-25,4.64,3.056356895370426
2020-11-26,4.64,3.056356895370426
2020-11-27,4.64,3.0368742168851663
2020-11-30,4.64,3.0238337036648657
2020-12-01,4.64,3.033509637888021
2020-12-02,4.64,3.0525850851467737
2020-12-03,4.64,3.0577676644734435
2020-12-04,4.64,3.0344721018699214
2020-12-07,4.64,3.0587070727153796
2020-12-08,4.64,3.0291670496402285
2020-12-09,4.64,3.1032404812692764
2020-12-10,4.64,3.1144038032714896
2020-12-11,4.64,3.1488824530476656
2020-12-14,4.64,3.20761263258949
2020-12-15,4.64,3.1307001339644756
2020-12-16,4.64,3.1135153092103742
2020-12-17,4.64,3.0878555624297968
2020-12-18,4.64,3.071303460401065
2020-12-21,4.64,3.22525543183224
2020-12-22,4.64,3.1875915348284343
2020-12-23,4.64,3.1488824530476656
2020-12-24,4.64,3.0694473113762717
2020-12-25,4.64,3.0694473113762717
2020-12-28,4.64,3.077312260546414
2020-12-29,4.64,3.138966441639899
2020-12-30,4.64,3.125443880075648
2020-12-31,4.64,3.1245651453969594
2021-01-01,4.64,3.1245651453969594
2021-01-04,4.64,3.2947251371516386
2021-01-05,4.64,3.232384174892993
2021-01-06,4.64,3.221671912170202
2021-01-07,4.64,3.107720775502038
2021-01-08,4.64,3.070839746040796
2021-01-11,4.64,3.1813816204406202
2021-01-12,4.64,3.1497400860333387
2021-01-13,4.64,3.100542637906336
2021-01-14,4.64,3.1463051320333655
2021-01-15,4.64,3.1921210875593813
2021-01-18,4.64,3.1921210875593813
2021-01-19,4.64,3.1458749319837103
2021-01-20,4.64,3.0717669598299886
2021-01-21,4.64,3.0596455992976437
2021-01-22,4.64,3.086943153607375
2021-01-25,4.64,3.1437211512674406
2021-01-26,4.64,3.1363634032937364
2021-01-27,4.64,3.6165775423585313
2021-01-28,4.64,3.4081729953985804
2021-01-29,4.64,3.499231121933521
2021-02-01,4.64,3.4091655513113324
2021-02-02,4.64,3.241028629509334
2021-02-03,4.64,3.1315734964654043
2021-02-04,4.64,3.080532875246456
2021-02-05,4.64,3.038312721089109
2021-02-08,4.64,3.055886196373738
2021-02-09,4.64,3.0740812399649675
2021-02-10,4.64,3.09058780456667
2021-02-11,4.64,3.056356895370426
2021-02-12,4.64,2.994231147427724
2021-02-15,4.64,2.994231147427724
2021-02-16,4.64,3.0661907372025525
2021-02-17,4.64,3.068052935133617
2021-02-18,4.64,3.1130707659712242
2021-02-19,4.64,3.093312601892855
2021-02-22,4.64,3.1548704948922883
2021-02-23,4.64,3.1402654242862895
2021-02-24,4.64,3.060583245873607
2021-02-25,4.64,3.363495514478144
2021-02-26,4.64,3.3304171996011083
2021-03-01,4.64,3.150596984114906
2021-03-02,4.64,3.1822118404966093
2021-03-03,4.64,3.283539338193923
2021-03-04,4.64,3.3523572162426816
2021-03-05,4.64,3.2051824977361982
2021-03-08,4.64,3.2375012889913655
2021-03-09,4.64,3.1793030497483774
2021-03-10,4.64,3.1161784266298582
2021-03-11,4.64,3.086943153607375
2021-03-12,4.64,3.029650491757452
2021-03-15,4.64,2.997231149677727
2021-03-16,4.64,2.9851767596144745
2021-03-17,4.64,2.9564715596006885
2021-03-18,4.64,3.0717669598299886
2021-03-19,4.64,3.0421386463681466
2021-03-22,4.64,2.9381031607173544
2021-03-23,4.64,3.0106208860477417
2021-03-24,4.64,3.054001181677967
2021-03-25,4.64,2.9861868607104594
2021-03-26,4.64,2.937043277205311
2021-03-29,4.64,3.032064202801381
2021-03-30,4.64,2.976039640208255
2021-03-31,4.64,2.9652730660692823
2021-04-01,4.64,2.8524391037275145
2021-04-02,4.64,2.8524391037275145
2021-04-05,4.64,2.8853592160726205
2021-04-06,4.64,2.8970163006148333
2021-04-07,4.64,2.8425810940598164
2021-04-08,4.64,2.830267833826459
2021-04-09,4.64,2.8148097376737438
2021-04-12,4.64,2.827905162910489
2021-04-13,4.64,2.8124102164264526
2021-04-14,4.64,2.8326249356838407
2021-04-15,4.64,2.8075938314384716
2021-04-16,4.64,2.7880929087757464
2021-04-19,4.64,2.850128299695199
2021-04-20,4.64,2.9274534328006965
2021-04-21,4.64,2.8622008809294686
2021-04-22,4.64,2.9290581402859983
2021-04-23,4.64,2.8524391037275145
2021-04-26,4.64,2.8701690505786455
2021-04-27,4.64,2.8656235882069705
2021-04-28,4.64,2.8495497633759097
2021-04-29,4.64,2.8684669225081145
2021-04-30,4.64,2.9236990706541595
2021-05-03,4.64,2.907447358686419
2021-05-04,4.64,2.969388298214389
2021-05-05,4.64,2.952302715626655
2021-05-06,4.64,2.91180703861623
2021-05-07,4.64,2.8148097376737438
2021-05-10,4.64,2.9785861147190205
2021-05-11,4.64,3.083743150876704
2021-05-12,4.64,3.3174533882291946
2021-05-13,4.64,3.141130476243348
2021-05-14,4.64,2.934388643312939
2021-05-17,4.64,2.9816333491744893
2021-05-18,4.64,3.060583245873607
2021-05-19,4.64,3.099190981922221
2021-05-20,4.64,3.028683373693677
2021-05-21,4.64,3.0032042883926917
2021-05-24,4.64,2.91235066461494
2021-05-25,4.64,2.935982269148217
2021-05-26,4.64,2.854168709232204
2021-05-27,4.64,2.817801065061329
2021-05-28,4.64,2.818995095053937
2021-05-31,4.64,2.818995095053937
2021-06-01,4.64,2.884800712846709
2021-06-02,4.64,2.8610573702273894
2021-06-03,4.64,2.8925915146344776
2021-06-04,4.64,2.7985001040242823
2021-06-07,4.64,2.7985001040242823
2021-06-08,4.64,2.837322536806349
2021-06-09,4.64,2.884241897520628
2021-06-10,4.64,2.7788192719904172
2021-06-11,4.64,2.750470916986162
2021-06-14,4.64,2.7966713927557385
2021-06-15,4.64,2.834389123145228
2021-06-16,4.64,2.8986705607108596
2021-06-17,4.64,2.8763855159214247
2021-06-18,4.64,3.0301337002713233
2021-06-21,4.64,2.884241897520628
2021-06-22,4.64,2.8130106367386967
2021-06-23,4.64,2.792391349535961
2021-06-24,4.64,2.770711962226921
2021-06-25,4.64,2.7485521444115397
2021-06-28,4.64,2.757475084429733
2021-06-29,4.64,2.7738379416402132
2021-06-30,4.64,2.761906873892921
2021-07-01,4.64,2.739548868161581
2021-07-02,4.64,2.712706012638404
2021-07-05,4.64,2.712706012638404
2021-07-06,4.64,2.799717389628034
2021-07-07,4.64,2.785011242238338
2021-07-08,4.64,2.9444389791664403
2021-07-09,4.64,2.7837759116303458
2021-07-12,4.64,2.783157673589016
2021-07-13,4.64,2.840247370713596
2021-07-14,4.64,2.7930039069823738
2021-07-15,4.64,2.8338014064077703
2021-07-16,4.64,2.915064370486536
2021-07-19,4.64,3.1135153092103742
2021-07-20,4.64,2.982140320034524
2021-07-21,4.64,2.8853592160726205
2021-07-22,4.64,2.872999508171694
2021-07-23,4.64,2.8449093838194073
2021-07-26,4.64,2.866761892257031
2021-07-27,4.64,2.963209081848431
2021-07-28,4.64,2.907447358686419
2021-07-29,4.64,2.8735646395797834
2021-07-30,4.64,2.9036169846461855
2021-08-02,4.64,2.968361076757859
2021-08-03,4.64,2.8925915146344776
2021-08-04,4.64,2.8887037007954675
2021-08-05,4.64,2.8495497633759097
2021-08-06,4.64,2.7819200496686656
2021-08-09,4.64,2.8166056076565553
2021-08-10,4.64,2.8207834710894493
2021-08-11,4.64,2.7763317085186157
2021-08-12,4.64,2.7466296830696852
2021-08-13,4.64,2.7376090033437546
2021-08-16,4.64,2.7800607370784824
2021-08-17,4.64,2.8853592160726205
2021-08-18,4.64,3.071303460401065
2021-08-19,4.64,3.075928815548268
2021-08-20,4.64,2.9210087273580543
2021-08-23,4.64,2.8419981736119486
2021-08-24,4.64,2.8460714989995846
2021-08-25,4.64,2.8207834710894493
2021-08-26,4.64,2.935982269148217
2021-08-27,4.64,2.7966713927557385
2021-08-30,4.64,2.784393767689544
2021-08-31,4.64,2.8021475244813256
2021-09-01,4.64,2.779440197188883
2021-09-02,4.64,2.7978909051019993
2021-09-03,4.64,2.7978909051019993
2021-09-06,4.64,2.7978909051019993
2021-09-07,4.64,2.8981194446869907
2021-09-08,4.64,2.8881470628740535
2021-09-09,4.64,2.9338568698359038
2021-09-10,4.64,3.0421386463681466
2021-09-13,4.64,2.9637254774189046
2021-09-14,4.64,2.968361076757859
2021-09-15,4.64,2.900322088749333
2021-09-16,4.64,2.9279886214674717
2021-09-17,4.64,3.035433640405543
2021-09-20,4.64,3.246880021277798
2021-09-21,4.64,3.192942442841696
2021-09-22,4.64,3.038312721089109
2021-09-23,4.64,2.924773184613497
2021-09-24,4.64,2.8763855159214247
2021-09-27,4.64,2.9317269435780786
2021-09-28,4.64,3.1463051320333655
2021-09-29,4.64,3.1161784266298582
2021-09-30,4.64,3.1415627217655304
2021-10-01,4.64,3.0516399054922867
2021-10-04,4.64,3.133753571451366
2021-10-05,4.64,3.0587070727153796
2021-10-06,4.64,3.044522437723423
2021-10-07,4.64,2.972463646614637
2021-10-08,4.64,2.9322598505984176
2021-10-11,4.64,2.995732273553991
2021-10-12,4.64,2.9882040071331994
2021-10-13,4.64,2.925309809257445
2021-10-14,4.64,2.8249439525737094
2021-10-15,4.64,2.791165107812717
2021-10-18,4.64,2.7917784166329223
2021-10-19,4.64,2.7536607123542622
2021-10-20,4.64,2.740194654428777
2021-10-21,4.64,2.7087166456453704
2021-10-22,4.64,2.7363136663750693
2021-10-25,4.64,2.7239235502585
2021-10-26,4.64,2.7713379403381286
2021-10-27,4.64,2.8320361808832013
2021-10-28,4.64,2.805176911832933
2021-10-29,4.64,2.7887081041196646
2021-11-01,4.64,2.7978909051019993
2021-11-02,4.64,2.7744619666214616
2021-11-03,4.64,2.714694743820879
2021-11-04,4.64,2.73696154459663
2021-11-05,4.64,2.8021475244813256
2021-11-08,4.64,2.8460714989995846
2021-11-09,4.64,2.8780742300857587
2021-11-10,4.64,2.930126516455997
2021-11-11,4.64,2.8713021951758138
2021-11-12,4.64,2.790551422613954
2021-11-15,4.64,2.8027541365715076
2021-11-16,4.64,2.7954503913830435
2021-11-17,4.64,2.839663087904102
2021-11-18,4.64,2.8673305587494666
2021-11-19,4.64,2.8853592160726205
2021-11-22,4.64,2.9533465570575532
2021-11-23,4.64,2.96424160646262
2021-11-24,4.64,2.922085733385692
2021-11-25,4.64,2.922085733385692
2021-11-26,4.64,3.3541057741283047
2021-11-29,4.64,3.133753571451366
2021-11-30,4.64,3.3028492586443794
2021-12-01,4.64,3.4378506993101907
2021-12-02,4.64,3.3304171996011083
2021-12-03,4.64,3.4232849781261603
2021-12-06,4.64,3.3024814087229974
2021-12-07,4.64,3.0860299115347716
2021-12-08,4.64,2.990719731730447
2021-12-09,4.64,3.0717669598299886
2021-12-10,4.64,2.9279886214674717
2021-12-13,4.64,3.011113375592293
2021-12-14,4.64,3.0860299115347716
2021-12-15,4.64,2.9595868269176377
2021-12-16,4.64,3.0238337036648657
2021-12-17,4.64,3.071303460401065
2021-12-20,4.64,3.12982600803469
2021-12-21,4.64,3.044998514856909
2021-12-22,4.64,2.924773184613497
2021-12-23,4.64,2.8881470628740535
2021-12-24,4.64,2.8881470628740535
2021-12-27,4.64,2.8724340572094973
2021-12-28,4.64,2.864483986944037
2021-12-29,4.64,2.830267833826459
2021-12-30,4.64,2.8524391037275145
2021-12-31,4.64,2.8460714989995846
2022-01-03,4.64,2.8094026953624978
2022-01-04,4.64,2.827905162910489
2022-01-05,4.64,2.982140320034524
2022-01-06,4.64,2.976039640208255
2022-01-07,4.64,2.9317269435780786
2022-01-10,4.64,2.9652730660692823
2022-01-11,4.64,2.9128939952449864
2022-01-12,4.64,2.8690346205080335
2022-01-13,4.64,3.011113375592293
2022-01-14,4.64,2.9543893100196086
2022-01-17,4.64,2.9543893100196086
2022-01-18,4.64,3.126321843257593
2022-01-19,4.64,3.1717842173343502
2022-01-20,4.64,3.2422016501716975
2022-01-21,4.64,3.3621099929541085
2022-01-24,4.64,3.3978584803966405
2022-01-25,4.64,3.4391352210025476
2022-01-26,4.64,3.464485120898074
2022-01-27,4.64,3.4173987610001633
2022-01-28,4.64,3.319987326236612
2022-01-31,4.64,3.2120525995200753
2022-02-01,4.64,3.08922261664133
2022-02-02,4.64,3.095125017432026
2022-02-03,4.64,3.192531849528599
2022-02-04,4.64,3.1450139762697455
2022-02-07,4.64,3.1293886583666644
2022-02-08,4.64,3.0652583362026014
2022-02-09,4.64,2.993730270883318
2022-02-10,4.64,3.1742967814702334
2022-02-11,4.64,3.3090820927543496
2022-02-14,4.64,3.3439213138424253
2022-02-15,4.64,3.246490991901174
2022-02-16,4.64,3.190064743014081
2022-02-17,4.64,3.3361253849184407
2022-02-18,4.64,3.3232358401924436
2022-02-21,4.64,3.3232358401924436
2022-02-22,4.64,3.360722549096437
2022-02-23,4.64,3.4346321577483927
